numTreatments,instCode,journals,dois
165,FMNH,Deutsche Entomologische Zeitschrift;ZooKeys;Subterranean Biology;Zoosystematics and Evolution,10.3897/dez.65.27424;10.3897/dez.66.38022;10.3897/zookeys.882.35532;10.3897/subtbiol.26.25605;10.3897/zookeys.863.34662;10.3897/zookeys.854.35133;10.3897/zookeys.846.33200;10.3897/zookeys.695.19906;10.3897/zookeys.688.19867;10.3897/zookeys.537.6115;10.3897/zookeys.685.13811;10.3897/zookeys.640.9690;10.3897/zookeys.663.11320;10.3897/zookeys.632.10483;10.3897/zookeys.1001.58447;10.3897/zookeys.572.7823;10.3897/zookeys.557.7087;10.3897/zse.97.59143;10.3897/zookeys.1030.62544;10.3897/zookeys.639.10893
328,MCZ,Deutsche Entomologische Zeitschrift;Zoosystematics and Evolution;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.65.27424;10.3897/dez.66.38022;10.3897/zse.95.34958;10.3897/zookeys.891.38563;10.3897/jhr.53.9902;10.3897/zookeys.766.24523;10.3897/zookeys.737.20639;10.3897/zse.95.33880;10.3897/zookeys.857.34938;10.3897/zookeys.840.33878;10.3897/zookeys.700.11784;10.3897/zookeys.646.10787;10.3897/zookeys.625.9891;10.3897/zookeys.674.11435;10.3897/zookeys.639.10893;10.3897/zookeys.618.9692;10.3897/zookeys.979.56863;10.3897/zookeys.586.6774;10.3897/zookeys.562.6052;10.3897/zookeys.1007.60012;10.3897/zookeys.1027.54888;10.3897/zookeys.1031.59102;10.3897/zse.97.61351;10.3897/zookeys.767.21105;10.3897/zookeys.670.11839
1,QMB,Deutsche Entomologische Zeitschrift,10.3897/dez.65.27424
43,EMUS,Deutsche Entomologische Zeitschrift;Journal of Hymenoptera Research;ZooKeys,10.3897/dez.66.34683;10.3897/jhr.68.30131;10.3897/jhr.55.11452;10.3897/jhr.55.5322;10.3897/zookeys.990.55542
303,CAS,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research;PhytoKeys;Zoosystematics and Evolution,10.3897/dez.66.38022;10.3897/zookeys.838.30910;10.3897/zookeys.835.27528;10.3897/zookeys.896.36493;10.3897/jhr.64.25453;10.3897/jhr.73.33876;10.3897/zookeys.786.28421;10.3897/zookeys.786.27382;10.3897/zookeys.780.25859;10.3897/phytokeys.74.10159;10.3897/phytokeys.69.9466;10.3897/zookeys.521.5995;10.3897/zookeys.755.23939;10.3897/zookeys.730.21846;10.3897/zookeys.727.20222;10.3897/zookeys.710.14902;10.3897/zookeys.867.36139;10.3897/zookeys.863.33778;10.3897/zookeys.851.31802;10.3897/zookeys.848.32263;10.3897/zookeys.526.6037;10.3897/zookeys.528.6001;10.3897/dez.63.6615;10.3897/zookeys.536.5982;10.3897/zookeys.544.6074;10.3897/zookeys.632.10576;10.3897/zookeys.944.49921;10.3897/zookeys.680.11162;10.3897/zookeys.675.12061;10.3897/zookeys.674.11435;10.3897/zookeys.626.10033;10.3897/zookeys.614.10200;10.3897/zookeys.614.6156;10.3897/zookeys.989.57087;10.3897/zookeys.987.55317;10.3897/zookeys.606.8590;10.3897/zookeys.605.8060;10.3897/zookeys.586.7832;10.3897/zookeys.568.7125;10.3897/zookeys.562.6124;10.3897/zookeys.561.7263;10.3897/zookeys.1007.60012;10.3897/zookeys.1009.61515;10.3897/zse.97.61351;10.3897/zookeys.1034.60411;10.3897/phytokeys.94.21553;10.3897/zookeys.734.21153;10.3897/zookeys.914.46652;10.3897/phytokeys.161.53010;10.3897/jhr.79.55832
92,EMEC,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.66.38022;10.3897/zookeys.803.28124;10.3897/jhr.54.10457;10.3897/jhr.55.12209;10.3897/zookeys.765.24144;10.3897/zookeys.755.23939;10.3897/zookeys.863.33183;10.3897/zookeys.528.6001;10.3897/zookeys.674.11435;10.3897/zookeys.646.11411;10.3897/jhr.76.48004;10.3897/zookeys.1007.60012
103,CMNH,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.66.38022;10.3897/zookeys.893.47059;10.3897/jhr.71.35754;10.3897/zookeys.690.13751;10.3897/zookeys.660.11228;10.3897/zookeys.648.10935;10.3897/zookeys.626.10033;10.3897/zookeys.611.9058;10.3897/zookeys.982.52363;10.3897/zookeys.532.6587;10.3897/zookeys.566.6982;10.3897/zookeys.533.6004;10.3897/zookeys.1016.61397;10.3897/zookeys.1040.62309
11,NDSU,Deutsche Entomologische Zeitschrift,10.3897/dez.66.38022
47,OSAC,Deutsche Entomologische Zeitschrift;ZooKeys,10.3897/dez.66.38022;10.3897/zookeys.788.26282;10.3897/zookeys.788.26480;10.3897/zookeys.625.9891;10.3897/zookeys.1007.60012
260,FSCA,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.66.38022;10.3897/zookeys.893.47059;10.3897/zookeys.796.22517;10.3897/jhr.55.12209;10.3897/jhr.73.38025;10.3897/zookeys.787.26948;10.3897/zookeys.778.25775;10.3897/zookeys.755.23939;10.3897/zookeys.747.22731;10.3897/zookeys.736.21628;10.3897/zookeys.702.14728;10.3897/zookeys.863.33183;10.3897/zookeys.527.6087;10.3897/zookeys.532.6587;10.3897/zookeys.690.13751;10.3897/zookeys.637.11001;10.3897/zookeys.580.8153;10.3897/zookeys.935.50492;10.3897/zookeys.959.53415;10.3897/zookeys.681.12522;10.3897/zookeys.674.11435;10.3897/zookeys.648.10935;10.3897/zookeys.974.54536;10.3897/zookeys.626.10033;10.3897/zookeys.617.9178;10.3897/zookeys.984.53587;10.3897/zookeys.995.55981;10.3897/zookeys.1001.58447;10.3897/zookeys.566.6982;10.3897/zookeys.557.7087;10.3897/zookeys.533.6004;10.3897/jhr.80.59466;10.3897/zookeys.1024.56927;10.3897/jhr.55.5322
206,WAM,Evolutionary Systematics;Journal of Hymenoptera Research;Subterranean Biology;ZooKeys,10.3897/evolsyst.1.14665;10.3897/evolsyst.1.14847;10.3897/evolsyst.2.30778;10.3897/jhr.64.25219;10.3897/subtbiol.20.10389;10.3897/zookeys.864.34521;10.3897/zookeys.695.19906;10.3897/zookeys.700.11784;10.3897/zookeys.618.8059;10.3897/zookeys.581.8044;10.3897/zookeys.1012.57172;10.3897/zookeys.756.24397;10.3897/zookeys.520.6185
149,QM,Evolutionary Systematics;ZooKeys,10.3897/evolsyst.1.14847;10.3897/evolsyst.1.15735;10.3897/evolsyst.2.30778;10.3897/evolsyst.3.34496;10.3897/zookeys.818.32061;10.3897/zookeys.700.11784;10.3897/zookeys.697.13381;10.3897/zookeys.647.11455;10.3897/zookeys.598.9229;10.3897/zookeys.646.10912;10.3897/zookeys.638.10883;10.3897/zookeys.618.8059;10.3897/zookeys.984.53587;10.3897/zookeys.586.6774;10.3897/zookeys.554.6120;10.3897/zookeys.1012.57172
42,SAM,Evolutionary Systematics;ZooKeys,10.3897/evolsyst.1.14847;10.3897/evolsyst.2.29172;10.3897/zookeys.756.24397;10.3897/zookeys.703.20986;10.3897/zookeys.685.13890;10.3897/zookeys.657.11623;10.3897/zookeys.640.10334;10.3897/evolsyst.5.64922
68,AM,Evolutionary Systematics;ZooKeys,10.3897/evolsyst.1.14847;10.3897/evolsyst.2.30778;10.3897/zookeys.796.21429;10.3897/zookeys.517.10187;10.3897/zookeys.522.6056;10.3897/zookeys.947.53906;10.3897/zookeys.662.11454;10.3897/zookeys.657.11623;10.3897/zookeys.622.9420;10.3897/zookeys.615.9530;10.3897/zookeys.581.8044;10.3897/zookeys.571.7356;10.3897/zookeys.1008.58854;10.3897/zookeys.1012.57172;10.3897/zookeys.838.28634
9,NMV,Evolutionary Systematics;ZooKeys,10.3897/evolsyst.1.14847;10.3897/zookeys.818.32061
16,TMAG,Evolutionary Systematics;ZooKeys,10.3897/evolsyst.1.14847;10.3897/zookeys.827.32969;10.3897/zookeys.652.12035;10.3897/zookeys.1012.57172
69,ZMB,Evolutionary Systematics;ZooKeys;Zoosystematics and Evolution;Deutsche Entomologische Zeitschrift,10.3897/evolsyst.3.35737;10.3897/zookeys.881.36744;10.3897/zse.95.31488;10.3897/zse.93.11576;10.3897/zse.92.7629;10.3897/zookeys.521.5995;10.3897/zookeys.522.10294;10.3897/zookeys.870.36970;10.3897/zookeys.840.33878;10.3897/dez.63.7556;10.3897/zookeys.568.6872;10.3897/zookeys.1009.54303;10.3897/zse.97.57202;10.3897/zookeys.1017.60990;10.3897/zse.97.61351;10.3897/zookeys.771.25534;10.3897/zookeys.764.24581
56,ZMBN,Evolutionary Systematics;ZooKeys;Nota Lepidopterologica,10.3897/evolsyst.3.35737;10.3897/zookeys.749.24199;10.3897/zookeys.746.14885;10.3897/zookeys.710.14902;10.3897/zookeys.863.33183;10.3897/zookeys.845.32428;10.3897/zookeys.992.55977;10.3897/nl.39.9090;10.3897/zookeys.1033.60686
59,NMW,ZooKeys,10.3897/zookeys.838.33086;10.3897/zookeys.765.24366;10.3897/zookeys.754.24276;10.3897/zookeys.723.21817;10.3897/zookeys.688.11261;10.3897/zookeys.664.11881;10.3897/zookeys.933.48771;10.3897/zookeys.621.9725;10.3897/zookeys.1003.55541;10.3897/zookeys.855.35677;10.3897/zookeys.623.10052
191,ZFMK,ZooKeys;Journal of Hymenoptera Research;Nota Lepidopterologica;Zoosystematics and Evolution;Evolutionary Systematics,10.3897/zookeys.837.32057;10.3897/zookeys.829.29708;10.3897/zookeys.896.36493;10.3897/jhr.63.12754;10.3897/zookeys.772.25320;10.3897/zookeys.746.14885;10.3897/zookeys.721.13918;10.3897/zookeys.525.6057;10.3897/zookeys.693.13012;10.3897/nl.40.10440;10.3897/zookeys.577.7825;10.3897/zookeys.679.12547;10.3897/zookeys.660.11780;10.3897/zookeys.635.9915;10.3897/zookeys.609.8288;10.3897/zookeys.568.6872;10.3897/zse.97.57297;10.3897/zookeys.1026.63749;10.3897/evolsyst.3.33417;10.3897/zookeys.811.29725
78,NHMB,ZooKeys,10.3897/zookeys.837.32057;10.3897/zookeys.789.27022;10.3897/zookeys.753.22366;10.3897/zookeys.699.12031;10.3897/zookeys.536.5982;10.3897/zookeys.912.47719;10.3897/zookeys.615.9179;10.3897/zookeys.980.56807;10.3897/zookeys.596.8725
302,HNHM,ZooKeys;Journal of Hymenoptera Research;Subterranean Biology;Zoosystematics and Evolution;Deutsche Entomologische Zeitschrift,10.3897/zookeys.837.32057;10.3897/zookeys.825.31663;10.3897/JHR.48.7094;10.3897/zookeys.808.29433;10.3897/zookeys.796.21515;10.3897/zookeys.796.22517;10.3897/jhr.68.30131;10.3897/subtbiol.29.32779;10.3897/subtbiol.25.23463;10.3897/subtbiol.23.14930;10.3897/zookeys.523.6114;10.3897/zookeys.706.18081;10.3897/zookeys.529.6139;10.3897/zookeys.912.47719;10.3897/zookeys.565.6877;10.3897/zookeys.587.7961;10.3897/zookeys.944.49921;10.3897/zookeys.678.13059;10.3897/zookeys.632.10483;10.3897/zookeys.999.58747;10.3897/zookeys.599.8168;10.3897/zookeys.592.8118;10.3897/zse.97.59143;10.3897/dez.68.60193;10.3897/subtbiol.38.64762;10.3897/zookeys.1037.64038;10.3897/jhr.72.39339;10.3897/zookeys.769.25258
46,VNMN,ZooKeys;PhytoKeys,10.3897/zookeys.837.32057;10.3897/zookeys.797.29138;10.3897/zookeys.524.6158;10.3897/zookeys.551.6168;10.3897/phytokeys.146.49731;10.3897/zookeys.996.56562;10.3897/zookeys.1018.61033;10.3897/zookeys.1036.56919
10,NME,ZooKeys;Zoosystematics and Evolution,10.3897/zookeys.837.32057;10.3897/zookeys.796.20736;10.3897/zookeys.772.25320;10.3897/zse.91.5411
10,MZUF,ZooKeys;Subterranean Biology,10.3897/zookeys.837.32057;10.3897/subtbiol.32.37509;10.3897/zookeys.662.11908
24,ISNB,ZooKeys,10.3897/zookeys.837.32057;10.3897/zookeys.963.54714;10.3897/zookeys.848.34207
483,NHMUK,ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research;Subterranean Biology;Nota Lepidopterologica;Deutsche Entomologische Zeitschrift,10.3897/zookeys.837.32057;10.3897/zse.93.10995;10.3897/zookeys.896.36493;10.3897/zookeys.806.21916;10.3897/zookeys.796.23076;10.3897/jhr.68.30131;10.3897/jhr.73.33876;10.3897/jhr.73.38383;10.3897/zookeys.795.28384;10.3897/zookeys.793.25005;10.3897/zookeys.790.26130;10.3897/zookeys.782.27938;10.3897/zookeys.777.23212;10.3897/zookeys.773.24878;10.3897/subtbiol.25.23463;10.3897/zookeys.755.23939;10.3897/zookeys.718.13700;10.3897/zookeys.705.19815;10.3897/zse.95.33880;10.3897/zookeys.867.28728;10.3897/zookeys.857.34938;10.3897/zookeys.854.35133;10.3897/zookeys.842.29243;10.3897/zookeys.529.6139;10.3897/zookeys.899.47070;10.3897/zookeys.912.47719;10.3897/zookeys.911.38496;10.3897/zookeys.907.36563;10.3897/nl.43.50430;10.3897/zookeys.564.6560;10.3897/jhr.78.53064;10.3897/zookeys.684.13383;10.3897/zookeys.677.12435;10.3897/zookeys.672.10212;10.3897/zookeys.646.10897;10.3897/zookeys.611.9058;10.3897/zookeys.976.53859;10.3897/zookeys.990.55542;10.3897/zookeys.995.55981;10.3897/zookeys.1001.58447;10.3897/dez.67.51332;10.3897/zookeys.592.8118;10.3897/zookeys.589.7933;10.3897/zookeys.590.7950;10.3897/zookeys.566.6982;10.3897/zookeys.1007.55543;10.3897/zookeys.1007.60012;10.3897/zse.97.52354;10.3897/subtbiol.37.55376;10.3897/zookeys.1012.54779;10.3897/zookeys.1019.60364;10.3897/zookeys.1028.56784;10.3897/zookeys.1031.62391;10.3897/jhr.82.64657;10.3897/zookeys.1037.64038;10.3897/zookeys.520.6006;10.3897/zookeys.761.24214;10.3897/zookeys.710.13941;10.3897/nl.40.14528
13,QSBG,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.837.32057;10.3897/jhr.57.12892;10.3897/jhr.57.12462;10.3897/zookeys.829.28718;10.3897/jhr.54.11662;10.3897/jhr.62.20888;10.3897/jhr.70.34206;10.3897/zookeys.725.20777
1,UMIC,ZooKeys,10.3897/zookeys.837.32057
294,RMNH,ZooKeys;Journal of Hymenoptera Research;Nota Lepidopterologica,10.3897/zookeys.837.32057;10.3897/zookeys.835.33231;10.3897/JHR.46.5763;10.3897/zookeys.896.36493;10.3897/zookeys.800.26292;10.3897/jhr.52.9806;10.3897/jhr.64.25453;10.3897/jhr.66.28881;10.3897/jhr.71.35754;10.3897/jhr.72.39333;10.3897/zookeys.780.26388;10.3897/zookeys.777.23212;10.3897/zookeys.773.24878;10.3897/nl.40.12674;10.3897/zookeys.522.10294;10.3897/zookeys.723.21668;10.3897/zookeys.842.33052;10.3897/zookeys.840.33878;10.3897/zookeys.524.6158;10.3897/zookeys.531.6097;10.3897/zookeys.537.6592;10.3897/zookeys.663.11874;10.3897/zookeys.647.11247;10.3897/zookeys.623.10045;10.3897/zookeys.712.14955;10.3897/zookeys.652.11252;10.3897/zookeys.651.11235;10.3897/zookeys.646.11397;10.3897/zookeys.639.10893;10.3897/zookeys.629.10167;10.3897/zookeys.628.9805;10.3897/zookeys.619.10043;10.3897/zookeys.612.9751;10.3897/zookeys.606.9656;10.3897/zookeys.606.9310;10.3897/zookeys.604.8976;10.3897/zookeys.594.5954;10.3897/zookeys.589.8361;10.3897/zookeys.587.8188;10.3897/zookeys.588.7906;10.3897/zookeys.581.8044;10.3897/zookeys.581.7455;10.3897/zookeys.576.8177;10.3897/zookeys.567.7212;10.3897/zookeys.562.6181;10.3897/zookeys.557.6298;10.3897/zookeys.539.6529;10.3897/zookeys.1014.60426;10.3897/zookeys.1038.64978;10.3897/jhr.65.27626;10.3897/zookeys.771.24165;10.3897/zookeys.736.20739;10.3897/nl.40.14528;10.3897/nl.43.48404;10.3897/zookeys.926.47270
5,MSNM,ZooKeys,10.3897/zookeys.837.32057;10.3897/zookeys.999.53130
7,SMTD,ZooKeys,10.3897/zookeys.837.32057;10.3897/zookeys.679.12547
